3 150 590 3 529 4271 54 0 24 397 362 697 278 110 2 419 499 12 355 665 2 3979 6249 54 0 9768 244 3960 1 0 43 24 10 292 11 22 2033 4 43 3 6 3657 31 7 12 3621 8 150 30 11 94 116 124 194 39 742 36 168 79 15 132 4 779 54 0 137 197 244 375 15 1722 124 80 278 14 3 72 16 24 1 3 66 103 8 73 2 332 179 4 85 13 0 9768 17 1830 46 371 481 1 17 1830 84 119 5961 83 11 78 5598 244 710 38 2 480 44 1001 1830 111 3325 111 3167 111 7844 0 244 17 108 32 7 1184 0 88 14 3 1660 12 355 10 163 392 138 4 485 2 2789 5 481 26 11 3 61 0 262 244 27 201 542 58 7583 171 595 4461 505 177 33 365 930 63 20 835 122 0 766 1 7743 1545 150 160 4 96 41 0 619 180 	5
88 982 4 49 4 2897 23 4192 1 3377 17 467 1167 184 15 45 984 5 1040 41 5 0 11 17 467 1 43 332 723 5 0 280 213 257 1040 958 7 253 0 503 5 278 60 682 13 60 2143 35 194 2 3849 651 17 117 589 257 958 174 695 273 9 109 18 2 1191 118 92 420 1 97 1364 5 213 0 837 5 0 1040 63 28 984 9 243 11 150 1888 1 2 520 5 1398 0 867 127 41 4 54 205 2 74 110 465 8334 630 225 478 17 19 6460 1461 312 169 6 39 348 82 111 22 2103 145 1 17 131 12 152 32 251 2339 3 153 230 15 134 10 2203 35 36 9 46 1167 18 44 21 1111 90 33 29 1 3 69 30 64 	5
109 42 1261 13 0 4230 1 355 16 24 7 0 332 1273 1752 747 777 20 475 11 8 6 0 4430 3596 42 18 484 9 331 10 1983 1056 1285 23 659 606 0 582 184 15 107 60 183 20 408 13 0 948 1398 513 668 1 3 796 0 5874 95 13 1287 206 538 1421 22 55 383 198 13 2819 11 6 40 207 355 22 0 780 3327 13 6498 3 367 169 1 38 0 29 6 133 32 28 68 40 720 1 604 202 1 213 1803 32 7 58 1526 114 11 3319 1259 6183 31 80 31 55 206 381 32 7 140 2 74 670 10 0 64 2286 365 1092 807 47 3721 3059 1092 807 1080 31 80 31 632 2273 1148 1 78 482 230 2 562 4 4186 670 9 2 144 8173 183 	5
3 390 30 2802 1 1275 11 16 7 21 2 196 1003 203 3 1753 4 103 0 203 7 2 25 24 10 2 4300 9 740 546 934 540 1 1070 1042 9 243 217 9 1215 1042 386 19 4 49 1489 10 2 4300 8 7 33 1617 13 365 1243 16 203 61 2763 	3
1010 72 16 203 19 62 2 2015 9 6199 14 6 40 431 13 0 1301 120 1039 87 187 500 10 2786 1251 93 73 863 382 57 3089 289 87 11 149 32 705 136 2215 18 0 1229 38 28 1545 41 5 2 246 228 18 547 1673 27 46 203 15 610 4 407 37 11 60 180 1545 946 866 2786 10 369 51 36 3298 288 16 6 92 1835 289 87 1943 39 8244 38 46 2004 381 4 5190 0 1152 157 111 662 4 430 0 78 203 304 84 4 1372 2 5111 9 37 457 93 3305 38 28 1545 41 5 0 689 9066 2217 0 1229 67 1141 770 4199 324 3 1505 11 0 1229 1511 3397 689 3856 18 0 262 157 246 228 18 0 4254 27 46 203 3411 4 156 8 216 19 3397 48 18 0 1229 3856 93 140 3305 38 791 28 1545 41 111 501 3 835 8 1203 47 43 5 60 5562 1 8 6 1160 75 	2
106 122 131 2 1429 1 515 4 30 566 175 4 0 560 197 4012 40 1649 21 4 945 8 6 3298 288 11 157 3 240 4 30 566 1489 14 0 3095 1734 6 11 16 6 38 11 6 659 889 4 1670 80 3 131 1429 14 93 39 131 192 1734 11 20 474 4 30 2 1389 524 4 401 1489 3 424 8 129 209 67 79 12 322 1678 46 66 	2
4466 673 2950 1219 4 0 191 23 40 25 1 0 112 6 40 37 489 13 55 7315 0 416 6 144 1 207 31 10 241 28 332 868 211 499 765 18 0 374 28 68 144 1 22 2 378 673 2 2885 54 0 378 6 317 14 0 2885 6 89 3 3982 0 454 112 849 4 2 382 1 247 41 11 17 108 385 5 0 2315 939 42 205 124 234 664 9 116 44 1207 4579 	3
4538 9 0 2895 178 39 409 178 0 203 3771 1322 16 603 3 19 111 4360 9 0 3 153 343 718 8 291 35 60 217 9 55 317 4714 3344 27 16 7 60 603 4 49 151 199 1 30 5544 12 220 	1
20 399 991 0 137 98 232 92 0 6078 1441 8 7 251 168 123 1169 0 137 6078 514 1 1358 34 0 2074 6352 98 46 57 7 33 20 97 2 130 1 135 3 216 19 1178 116 4 107 2 130 47 2 137 1903 423 98 902 655 142 13 137 1903 681 1 1263 8 452 64 3293 5 2764 13 12 4129 9231 1308 44 6 0 116 2639 655 142 	3
27 4414 2 562 4 9 52 220 1616 362 232 64 2564 87 4 498 1 0 5 192 541 5 2144 0 273 5498 5 1 6738 854 52 220 23 140 744 3542 232 523 14 123 12 197 841 19 9 0 5 2 74 1604 1 1411 47 12 219 1015 72 3 19 47 0 197 498 1886 864 9 5233 79 36 168 1 59 1919 10 539 4154 10 539 437 2 137 8766 515 4476 608 3406 435 435 435 82 90 4476 498 10 12 3779 3 228 0 206 323 498 193 1 0 5434 498 2302 1 0 280 131 221 169 6 1278 1 285 30 64 4 96 0 701 0 98 7 2 548 237 261 5 2 129 4491 918 13 2 125 366 307 1 2 8595 316 36 2629 1 36 1625 49 1073 96 8 15 39 386 1572 10 72 	5
